STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,Cenlat,Cenlon,population,median_inc,m_gross_re,NUMST,per_capita_I,m_contract_rent
36,5,100,36005000100,1,Census Tract 1,G5020,S,1677210,1035011,40.7929362,-73.8812065,100,-,-,0,2332,-
36,61,24000,36061024000,240,Census Tract 240,G5020,S,2183933,793007,40.7910329,-73.9200395,1742,-,-,0,4583,-
36,61,14300,36061014300,143,Census Tract 143,G5020,S,2991654,567106,40.7813172,-73.9668472,5,-,-,0,5860,-
36,5,31900,36005031900,319,Census Tract 319,G5020,S,213170,201583,40.9138727,-73.9111066,654,-,-,0,6709,-
36,5,39700,36005039700,397,Census Tract 397,G5020,S,518181,0,40.8618648,-73.8853878,3994,21549,1035,0,6995,884
36,47,25902,36047025902,259.02,Census Tract 259.02,G5020,S,59594,0,40.696966,-73.945154,3736,16406,350,0,7082,350
36,47,80800,36047080800,808,Census Tract 808,G5020,S,321836,0,40.6573033,-73.9394864,1321,9740,251,0,7145,215
36,47,53500,36047053500,535,Census Tract 535,G5020,S,130364,0,40.7061438,-73.9612198,4065,21286,1090,0,7661,976
36,85,13301,36085013301,133.01,Census Tract 133.01,G5020,S,67337,0,40.6355984,-74.1189103,1469,13818,441,0,8048,440
36,5,12102,36005012102,121.02,Census Tract 121.02,G5020,S,49498,0,40.8260067,-73.887962,1682,18692,495,0,8157,329
36,47,50900,36047050900,509,Census Tract 509,G5020,S,141788,0,40.7032772,-73.9505646,4488,31650,1250,0,8290,974
36,5,14701,36005014701,147.01,Census Tract 147.01,G5020,S,138921,0,40.8342262,-73.9053292,7152,16170,436,0,8551,436
36,47,53700,36047053700,537,Census Tract 537,G5020,S,167465,0,40.7002981,-73.9599546,3539,28550,1280,0,8603,1009
36,47,123700,36047123700,1237,Census Tract 1237,G5020,S,321360,0,40.6967384,-73.9567404,6610,30528,1549,0,8710,1349
36,47,91200,36047091200,912,Census Tract 912,G5020,S,167237,0,40.665129,-73.9076346,6920,21747,522,0,8854,519
36,47,50700,36047050700,507,Census Tract 507,G5020,S,174429,0,40.7014096,-73.9470079,2523,31844,1265,0,8966,985
36,5,22000,36005022000,220,Census Tract 220,G5020,S,229355,0,40.8434761,-73.8723188,2174,26458,1226,0,9371,1049
