LATITUDE,LONGITUDE,ID,percapitai
40.7043495180,-74.0130157470,1,116523
40.7045478820,-74.0091857910,2,89244
40.7087402340,-74.0095062260,3,84091
40.7096443180,-74.0146102910,4,96825
40.7103538510,-74.0079422000,5,75487
40.7118377690,-74.0068435670,6,73044
40.7137794490,-74.0091247560,7,183591
40.7155342100,-74.0090332030,8,183591
40.7183303830,-74.0000152590,9,106335
40.7193222050,-73.9899520870,10,35524
40.7212600710,-74.0004501340,11,125396
40.7225341800,-73.9979553220,12,106335
40.7257728580,-74.0055770870,13,130383
40.7268905640,-74.0002593990,14,96459
40.7337493900,-73.9865951540,15,93629
40.7368659970,-73.9963302610,16,120360
40.7379798890,-73.9883041380,17,111302
40.7403831480,-73.9911651610,18,129047
40.7416610720,-73.9903106690,19,142141
40.7430000310,-74.0003433230,20,99744
40.7435722350,-73.9920272830,21,142141
40.7443161010,-73.9952468870,22,122017
40.7452125550,-73.9908752440,23,142141
40.7486610410,-73.9856109620,24,90660
40.7489166260,-73.9826812740,25,112307
40.7489891050,-73.9923706050,26,128110
40.7491378780,-73.9838256840,27,112307
40.7497825620,-73.9728012080,28,88209
40.7508659360,-73.9752807620,29,102328
40.7508811950,-73.9888839720,30,82505
40.7511177060,-73.9895019530,31,82505
40.7513275150,-73.9921646120,32,128110
40.7515830990,-73.9735870360,33,88209
40.7518424990,-73.9902114870,34,82505
40.7519569400,-73.9797210690,35,112307
40.7524681090,-73.9872283940,36,82505
40.7530670170,-73.9994277950,37,73441
40.7531776430,-73.9749755860,38,110887
40.7538871770,-73.9787216190,39,95786
40.7541236880,-73.9717102050,40,107607
40.7551689150,-73.9794082640,41,95786
40.7568626400,-73.9726333620,42,100738
40.7570266720,-73.9887847900,43,31434
40.7576141360,-73.9708557130,44,100738
40.7580490110,-73.9821929930,45,120734
40.7580833440,-73.9888839720,46,31434
40.7587585450,-73.9786911010,47,119527
40.7587585450,-73.9786911010,48,119527
40.7593269350,-73.9528884890,49,52032
40.7594451900,-73.9699783330,50,100738
40.7607536320,-73.9836959840,51,120734
40.7612648010,-73.9691009520,52,134173
40.7614021300,-73.9678649900,53,134173
40.7616157530,-73.9900436400,54,63973
40.7618293760,-73.9811477660,55,83278
40.7622261050,-73.9865646360,56,63973
40.7623939510,-73.9657440190,57,106822
40.7624015810,-73.9740600590,58,220211
40.7637214660,-73.9853134160,59,67561
40.7643852230,-73.9810791020,60,114837
40.7648735050,-73.9789733890,61,114837
40.7659339900,-73.9635925290,62,134936
40.7691459660,-73.9823913570,63,141401
40.7693138120,-73.9849014280,64,141401
40.7700309750,-73.9546279910,65,97600
40.7741165160,-73.9593200680,66,136632
40.7761268620,-73.9502029420,67,101676
40.7774925230,-73.9551315310,68,136632
40.7779502870,-73.9781723020,69,114483
40.7786483760,-73.9560394290,70,134531
40.7791175840,-73.9474716190,71,66298
40.7799835210,-73.9771423340,72,133222
40.7801399230,-73.9553451540,73,108412
40.7810173030,-73.9810714720,74,108671
40.7849044800,-73.9786987300,75,131367
40.7871398930,-73.9544830320,76,194869
40.7892875670,-73.9753265380,77,99061
40.7988815310,-73.9683685300,78,67636
40.8046951290,-73.9666671750,79,50080
40.8059158330,-73.9544982910,80,47436
40.8071098330,-73.9649124150,81,46104
40.8078079220,-73.9451065060,82,40065
40.8095741270,-73.9492950440,83,35279
40.7027854920,-74.0128021240,84,116523
40.7032852170,-74.0141220090,85,116523
40.7052917480,-74.0110549930,86,116523
40.7082328800,-74.0110931400,87,89244
40.7084579470,-74.0075302120,88,84091
40.7092628480,-74.0105133060,89,96825
40.7109107970,-74.0098419190,90,96825
40.7123336790,-74.0079498290,91,183591
40.7157325740,-74.0031127930,92,73044
40.7188682560,-74.0025024410,93,192724
40.7271919250,-73.9954605100,94,74169
40.7275581360,-74.0074081420,95,130383
40.7300071720,-73.9916610720,96,130217
40.7330360410,-73.9997634890,97,120360
40.7332305910,-73.9808197020,98,57544
40.7336769100,-74.0061264040,99,95602
40.7350234990,-73.9898452760,100,116546
40.7370338440,-73.9905548100,101,111302
40.7374382020,-74.0016403200,102,116179
40.7387924190,-73.9833984380,103,85805
40.7401618960,-73.9869689940,104,137302
40.7411537170,-74.0012969970,105,121988
40.7416839600,-74.0046310420,106,61843
40.7418441770,-73.9932403560,107,142141
40.7436790470,-73.9768676760,108,81316
40.7442588810,-73.9837493900,109,120401
40.7450675960,-73.9868621830,110,120401
40.7451019290,-73.9987411500,111,87618
40.7467231750,-73.9810943600,112,82506
40.7477645870,-73.9853057860,113,90660
40.7480278020,-73.9892501830,114,128110
40.7497978210,-73.9923400880,115,128110
40.7501945500,-73.9745635990,116,88209
40.7503318790,-73.9770431520,117,102328
40.7505874630,-73.9881057740,118,82505
40.7506065370,-73.9791412350,119,112307
40.7513732910,-73.9909820560,120,82505
40.7517738340,-73.9776535030,121,102328
40.7526321410,-73.9929046630,122,82505
40.7529296880,-73.9767227170,123,110887
40.7530975340,-73.9795074460,124,95786
40.7536468510,-73.9884338380,125,101925
40.7540397640,-73.9785919190,126,95786
40.7545318600,-73.9760971070,127,110887
40.7548942570,-73.9837951660,128,196955
40.7550201420,-73.9732208250,129,110887
40.7550430300,-73.9686126710,130,115639
40.7550430300,-73.9864120480,131,101925
40.7566413880,-73.9859008790,132,31434
40.7567825320,-74.0034255980,133,126297
40.7569618230,-73.9758987430,134,95786
40.7576904300,-73.9851303100,135,31434
40.7579917910,-73.9856338500,136,31434
