Longitude,Latitude,Name,Contact
-73.96518,40.75974,"DD-New York,NY","1093 Second Ave, New York,NY 10022, (212) 838-8838"
-73.96338,40.75768,"DD-New York,NY","1024 1st Avenue, New York,NY 10022, (212) 223-1177"
-73.97172,40.75021,"DD-New York,NY","800 Second Ave, New York,NY 10017, (212) 599-1100"
-73.96937,40.75758,"DD/BR-New York,NY","875 3rd Ave, New York,NY 10022, (212) 758-4121"
-73.97053,40.75818,"DD/BR-New York,NY","153 E 53rd Street, New York,NY 10022, (212) 888-5415"
-73.97058,40.75921,"DD-New York,NY","638 Lexington Ave, New York,NY 10022, (212) 644-5848"
-73.97602,40.76027,"DD-New York,NY","666 5th Ave, New York,NY 10103, (212) 315-3408"
-73.97598,40.76212,"DD/BR-New York,NY","55 West 55th Street, New York,NY 10019, (212) 245-4655"
-73.94814,40.80137,"DD/BR-New York,NY","53 West 116th Street, New York,NY 10026, (212) 860-9894"
-73.95258,40.80799,"DD-New York,NY","2264 Frederick Douglas Blvd, New York,NY 10027, (212) 222-1414"
-73.94570,40.80810,"DD-New York,NY","105 West 125th St, New York,NY 10027, (212) 665-2090"
-73.93692,40.80481,"DD/BR-Manhattan,NY","2083 Lexington Ave, Manhattan,NY 10035, (212) 831-3085"
-73.93450,40.80336,"DD-New York,NY","255 East 125th St, New York,NY 10035, (212) 427-9321"
-73.94486,40.82347,"DD-New York,NY","680 St Nicholas Ave, New York,NY 10030, (212) 281-0056"
-73.94180,40.82301,"DD/BR-New York,NY","2730 Frederick Douglass Boulevard, New York,NY 10039, (212) 862-0635"
-73.93658,40.82059,"DD/BR-New York,NY","110 West 145th Street, New York,NY 10039, (212) 234-3440"
-73.93744,40.83946,"DD-New York,NY","501 W 167th St, New York,NY 10032"
-73.92105,40.83555,"DD/BR-Bronx,NY","46 E 167th St, Bronx,NY 10452, (718) 992-9677"
-73.92984,40.85490,"DD-New York,NY","1599 St Nicholas Ave, New York,NY 10040, (212) 568-1039"
-73.93428,40.85338,"DD-New York,NY","4353 Broadway, New York,NY 10033, (212) 740-0001"
-73.93727,40.85063,"DD/BR-New York,NY","728 W 181st Street, New York,NY 10033, (212) 923-9239"
-73.93383,40.84918,"DD-New York,NY","1416 Saint Nicholas Avenue, New York,NY 10033, (212) 928-1900"
-73.97874,40.75578,"DD-New York,NY","6 East 46th St, New York,NY 10017, (212) 867-4446"
-73.97899,40.75844,"DD-New York,NY","30 Rockefeller Centre Mezzanine L, New York,NY 10112, (212) 333-4412"
-73.98431,40.76141,"DD-New York,NY","210 W 50th St, New York,NY 10019, (212) 757-4617"
-73.98289,40.76695,"DD-New York,NY","973 8th Ave, New York,NY 10019, (212) 315-2616"
-73.98967,40.75546,"DD/BR-New York,NY","240 W 40th St, New York,NY 10018, (212) 395-9280"
-73.99110,40.75368,"DD-New York,NY","265 W 37th St, New York,NY 10018, (212) 302-8080"
-73.99254,40.75374,"DD-New York,NY","525 8th Ave, New York,NY 10018, (212) 216-0997"
-73.95312,40.78313,"DD/BR-New York,NY","1392 Lexington Ave, New York,NY 10128, (212) 722-5767"
-73.95174,40.76987,"DD-New York,NY","1443 York Ave, New York,NY 10075, (212) 452-1026"
-73.97464,40.79030,"DD-New York,NY","2424 Broadway  (Broadway And 89th), New York,NY 10024"
-73.97124,40.79495,"DD-New York,NY","2568 Broadway, New York,NY 10025"
-73.95034,40.77752,"DD-New York,NY","355 E 86th St, New York,NY 10028, (212) 876-4510"
-73.97145,40.79231,"DD-New York,NY","687 Amsterdam Ave, New York,NY 10025, (212) 864-1046"
-73.96789,40.79261,"DD-New York,NY","730 Columbus Ave, New York,NY 10025, (212) 280-3396"
-73.97512,40.78754,"DD-New York,NY","535 Amsterdam Ave  Unit A, New York,NY 10024, (212) 595-1682"
-73.96951,40.79795,"DD-New York,NY","2661 Broadway, New York,NY 10025, (212) 280-2221"
-73.96596,40.80010,"DD-New York,NY","929 Amsterdam Ave, New York,NY 10025, (212) 280-0648"
-73.95712,40.77052,"DD-New York,NY","1433 2nd Avenue, New York,NY 10021, (212) 737-8153"
-73.95384,40.78768,"DD-New York,NY","1391 Madison Avenue, New York,NY 10029, (212) 423-0190"
-73.94369,40.79319,"DD-New York,NY","1972 3rd Ave, New York,NY 10029, (212) 369-9610"
-73.94813,40.79550,"DD/BR-New York,NY","1630 Madison Avenue, New York,NY 10029, (212) 289-1285"
-73.94107,40.79855,"DD/BR-New York,NY","159 E 116th St, New York,NY 10029, (212) 289-7685"
-73.91125,40.80542,"DD-Bronx,NY","281 Bruckner Blvd, Bronx,NY 10454, (718) 401-5817"
-73.90471,40.81247,"DD-Bronx,NY","843 East 149th St, Bronx,NY 10455, (718) 292-6882"
-73.92242,40.80467,"DD-Bronx,NY","114 Bruckner Boulevard, Bronx,NY 10454, (718) 402-4222"
-73.87150,40.82434,"DD/BR-Bronx,NY","1650 Bruckner Boulevard, Bronx,NY 10473, (718) 893-2090"
-73.87626,40.82902,"DD-Bronx,NY","1583 Westchester Avenue, Bronx,NY 10472, (718) 378-3069"
-73.84350,40.86198,"DD-Bronx,NY","2451 Eastchester Rd, Bronx,NY 10469, (718) 655-2300"
-73.85324,40.84931,"DD-Bronx,NY","1090 Morris Park, Bronx,NY 10462"
-73.83405,40.86406,"DD-Bronx,NY","1780 E Gun Hill Road, Bronx,NY 10469, (718) 320-4070"
-73.86684,40.83187,"DD-Bronx,NY","1791 Westchester Ave, Bronx,NY 10472, (718) 824-3796"
-73.89228,40.81665,"DD-Bronx,NY","880 Garrison Ave, Bronx,NY 10474, (718) 861-4171"
-73.89265,40.82429,"DD/BR-Bronx,NY","1040 Westchester Avenue, Bronx,NY 10459, (718) 842-3885"
-73.86079,40.83494,"DD-Bronx,NY","1374 Metropolitan Ave, Bronx,NY 10462, (718) 931-7960"
-73.86589,40.84526,"DD/BR-Bronx,NY","699 Morris Park Avenue, Bronx,NY 10462, (718) 794-1973"
-73.91251,40.84748,"DD/BR-Bronx,NY","1733 Jerome Avenue, Bronx,NY 10453, (718) 731-2200"
-73.91154,40.85471,"DD-Bronx,NY","26 Burnside Avenue, Bronx,NY 10453, (718) 294-5780"
-73.86752,40.85489,"DD-Bronx,NY","2148 White Plains Rd, Bronx,NY 10462, (718) 792-3686"
-73.86742,40.85794,"DD-Bronx,NY","2200 White Plains Rd, Bronx,NY 10467, (718) 944-2109"
-73.84465,40.84677,"DD-Bronx,NY","1720 Eastchester Road Pathmark, Bronx,NY 10461, (718) 823-6068"
-73.89958,40.82500,"DD/BR-Bronx,NY","1041 Prospect Ave, Bronx,NY 10459, (718) 328-1351"
-73.82213,40.82643,"DD-Bronx,NY","3732 E Tremont Ave, Bronx,NY 10465, (718) 892-4586"
-73.82779,40.83277,"DD-Bronx,NY","3421 E Tremont Ave, Bronx,NY 10465"
-73.80964,40.81971,"DD-Bronx,NY","4147 Throggs Neck Expressway, Bronx,NY 10465, (718) 824-9292"
-73.89730,40.84447,"DD/BR-Bronx,NY","4115 3rd Avenue, Bronx,NY 10457, (718) 294-5344"
